title,is_fake
timnas indonesia lolos piala dunia irak mundur kualifikasi pildun,1
timnas guinea diusir presiden prancis olimpiade,1
pantai barat tsunami ribuan jiwa tertolong,1
pesta pernikahan menewaskan orang china,1
pesan messenger pj wali kota kotamobagu asripan nani menawarkan jabatan,1
lowongan kerja pt tunaskarya indoswasta,1
akun whatsapp ketua tp pkk kabupaten kepulauan meranti hj ismiatun asmar,1
postingan instagram bakesbangpol kota bandung giveaway iphone,1
panggilan telepon whatsapp bupati bengkalis kasmarni bantuan pkk,1
akun whatsapp kapolres mimika akbp gede putra,1
akun facebok mengatasnamakan kapolres klaten warsono,1
akun facebook pj bupati lambar drs nukman,1
pertolongan penyakit stroke menusuk jari,1
link pendaftaran undian pengguna livin by mandiri,1
bantuan dana rp juta mengatasnamakan kerajaan arab saudi,1
ntt dihantam ombak meter mei,1
ratusan guru tolak kemenangan prabowo,1
anwar usman disingkirkan terbukti menangkan prabowo gibran,1
foto quraish shihab najwa shihab mempromosikan produk ac portable,1
gebyar undian berhadiah bank bjb syariah,1
rhoma irama meninggal dunia,1
prabowo gibran batal dilantik mpr,1
video keputusan mk diskualifikasi paslon,1
najwa shihab menangis mendengar cerita megawati hangestri,1
toko emas sandra dewi disita korupsi timah rp t,1
anies baswedan hadiri pernikahan rizky febian mahalini,1
megawati hangestri dinobatkan pevoli terbaik dunia,1
puluhan rumah magetan tertimbun longsor,1
perjuangan siswa berangkat sekolah ditengah proyek ikn kereta cepat,1
video raja denmark mengibarkan bendera palestina balkon kediamannya,1
video tkw beli coklat rp juta kena pajak rp juta,1
foto tentara idf menyelamatkan bayi gaza,1
video opposite pink spiders mengaku kagum smash megawati hangestri,1
link pendaftaran gebyar undian berhadiah bank kalsel nasabah banking,1
cristiano ronaldo bahas kecurangan wasit afc,1
harimau sumatera mati tertabrak mobil tol pekanbaru dumai,1
video longsor kelok sumatra barat,1
aksi begal kota tanjung pinang,1
gelombang meter telan puluhan warga belitung mei,1
tsunami maluku mei,1
rusia sekutu yaman,1
mantan menkes siti fadilah supari promosikan obat nyeri sendi,1
indonesia vs portugal dilaksanakan september,1
palestina merdeka masuk daftar resmi pbb,1
vaksinasi virus corona kali mengakibatkan sistem kekebalan tubuh runtuh,1
tujuan ronaldo masuk liga arab masuk islam,1
polusi udara berbahaya hoaks internasional bisnis bidang udara,1
gambar tangkapan layar artikel berjudul diberhentikan hormat prabowo lantas dianugrahi kehormatan pangkat jendral lucu,1
video dugaan suap mk tonjolkan,1
gambar bukti jokowi lulusan ugm,1
pm jepang dibunuh mengikuti perintah world economic forum wef,1
aktor amerika pidato mendukung kemerdekaan palestina,1
raffi ahmad iklankan situs judi beritasatu,1
jusuf hamka juta khusus nasabah bri bni bca mandiri,1
prabowo berbagi speaker bluetooth syukur menang pilpres,1
inul daratista gelar giveaway kuis tebak daerah asalnya,1
bni buka ajuan pinjaman jaminan tiktok,1
raffi ahmad akui mendirikan bisnis situs judi mata najwa,1
video suporter indonesia menyanyikan takbir pertandingan indonesia melawan irak,1
video retno marsudi menandatangani pelunasan hutang negara china,1
prabowo akui jual negara perintah jokowi,1
mobil jokowi dihadang massa rakyat jokowi mundur,1
penularan hiv tester lipstik,1
dipecat prabowo kenaikan pangkat,1
timnas guinea pemalsuan umur indonesia lolos kualifikasi olimpiade paris,1
ijazahnya palsu jokowi diadili pbb,1
sembako kena pajak,1
luhut imbau pendukung pindah ikn ikn sepi,1
kemenag mengaku cucu rasulullah saw wajib tes dna,1
akibat anggaran pendidikan dialokasikan program makan siang gratis ui tetapkan uang pangkal mahasiswa reguler,1
video gunung merapi meletus,1
giveaway undian baim,1
wasit aidil resmi pimpin pertandingan persib vs bali united,1
tarif listrik resmi mei,1
gebyar undian pengguna aplikasi banking brimo,1
ustadz solmed istri mempromosikan situs judi,1
ahok anies bergabung melawan kaesang bobby nasution,1
wn rusia dideportasi bantu tangkap mafia narkoba,1
surat izin giveaway baim polres metro jakarta pusat,1
rutin minum es makan memicu kerusakan ginjal,1
raffi ahmad promosikan bisnis madu murni mata najwa,1
vaksin covishield menimbulkan efek sindrom trombosis trombositopenia,1
gelombang meter terjang selat sunda mei,1
indonesia melaju paris guinea didiskualifikasi olimpiade akibat pemalsuan usia pemain,1
video penemuan spesies ikan terbaru berwajah manusia danau samsara karanji mesir,1
video warga menggendong anaknya jatuh sungai jembatan rusak indonesia,1
ratusan rumah hancur akibat angin tornado bangka belitung,1
mpr keluarkan keputusan melantik prabowo gibran,1
prabowo hadiri pernikahan rizky febian mahalini,1
peristiwa pembegalan cicalengka mei,1
prabowo serang pdip ricuh,1
pdip lengserkan jokowi hormat,1
harvey moeis sandra dewi jalani hukuman mati korupsi timah t,1
sandra dewi resmi tersangka korupsi timah polisi temukan uang miliknya,1
sandra dewi nekat kabur ditetapkan tersangka korupsi timah t,1
fifa bekukan federasi sepakbola guinea fgf akibat curang lawan indonesia,1
gambar anies baswedan dilantik jenderal,1
pemain real madrid vinicius jr keturunan indonesia,1
video tangkapan layar artikel gelora news penambang emas ilegal kalbar bekerjasama pengkhianat negara,1
penemuan buaya pelabuhan paotere makassar,1
akun facebook edwin sumantha,1
gambar ayah jokowi notomiharjo tokoh pki tionghoa,1
covid direncanakan rockefeller foundation orang divaksin dikontrol ai,1
video sri mulyani mempromosikan obat hipertensi,1
akun whatsapp kabag biro pbj prov kaltim sayid awaluddin,1
panggilan telepon whatsapp mengatasnamakan kadis pupr serang,1
akun whatsapp pj wali kota bogor hery antasari,1
nomor whatsapp sekda sragen hargiyanto,1
video ribuan pasukan berkuda memasuki palestina,1
akun whatsapp kepala dinkes provinsi jawa yunita dyah suminar,1
akun facebook wakil bupati gorontalo hendra hemeto menawarkan donasi,1
akun whatsapp sekda kalimantan nuryakin,1
postingan facebook lowongan kerja puskesmas magelang utara,1
gambar gibran program patroli berita orang hilang,1
video kibarkan bendera palestina puncak piramida mesir,1
ustadz felix siauw mo salah membagikan rezeki situs slot,1
jhon lbf transfer uang juta mengirim nomor rekening nomor wa tertera,1
raffi ahmad berbagi jam tangan perayaan kemenangan prabowo gibran,1
surat rekrutmen kerja pt kai periode mei,1
email imbauan verifikasi data pengguna satusehat,1
poster lowongan kerja pertamina mei,1
prabowo bantuan whatsapp,1
video mata anak bengkak merah hp,1
pertalite dihapus digantikan green pertamax,1
perusahaan danone aqua dukung israel,1
vaksin hpv menyebabkan kerusakan tubuh wanita,1
prabowo menikahi sofiatun gudono,1
banjir bandang menimpa bandar lampung ribuan rumah hancur,1
ribuan warga tumbal gelombang samudra hindia mei,1
sri mulyani tolak perintah jokowi gabung kabinet prabowo,1
perjanjian busuk jokowi hakim dibalik putusan mk terbongkar,1
indonesia dilanda gelombang panas derajat celcius,1
kabupaten jawa timur ringsek gelombang hebat,1
gebyar panen hadiah mandiri,1
pemungutan bea cukai pengiriman peti jenazah,1
gelombang dahsyat sapu bersih kabupaten jawa barat,1
gebyar promo hadiah bank bri,1
penyakit cacing hati tbc tertular daging hewan terinfeksi dimasak suhu,1
pfizer mempromosikan vaksin ilegal data keamanan,1
video baby jailyn meninggalkan bayinya dijatuhi hukuman suntik mati,1
uzbekistan didiskualifikasi terciduk suap wasit,1
lagu iwan fals berjudul dinasti jokowi,1
tka china operator kereta cepat,1
tsunami japan,1
demam berdarah indonesia meningkat efek vaksin covid wolbachia,1
program bni rewards point,1
makan siang gratis digagalkan,1
beras beracun juta ton cina,1
perpindahan ibukota kalimantan skenario china,1
timnas new guinea didiskualifikasi olimpiade paris,1
serangan negara muslim serentak tel aviv,1
ribuan warga terseret tsunami meter pantai selatan cianjur,1
kim yeon koung maaf megawati hangestri kedzalimannya,1
video warga israel kabur tangga eskalator iran merudal israel,1
rekomendasi sprei murah jokowi,1
opposite anyar pink spiders lontarkan cibiran pedas megawati hangestri,1
akun instagram mengatasnamakan jhon lbf jhon lbfberbagii,1
akun tiktok bankmandiri menyediakan pinjaman via whatsapp,1
ribuan warga tumbal gelombang samudera hindia mei,1
jokowi diusir paksa istana negara perintah prabowo,1
link pendaftaran undian pengguna livin by mandiri,1
messi kritik pedas marselino,1
israel menghadang tni perbatasan,1
yaman luncurkan rudal jarak israel,1
ma ruf amin kas negara menipis ma ruf amin rakyat sisihkan harta bantu pemerintah,1
video aceh mengibarkan bendera gam prabowo diresmikan mk,1
video gas lpg kg mengeluarkan air,1
bank indonesia meresmikan pecahan uang juta,1
rekaman gerhana matahari benua amerika april,1
video mk menyimpulkan anies ganjar nyapres,1
video warga israel berhamburan panik serangan misil iran,1
gambar rumah ketua kpu hasyim ashari ambruk,1
vaksin hpv vaksin covid sebabkan kemandulan,1
terbukti apple resmi batalkan investasi triliun indonesia,1
anies pdip bersatu gugat kpu mk,1
kehadiran pasukan rusia gaza disambut hangat sujud syukur rakyat palestina,1
sandra dewi berpura pura gila ditangkap korupsi rp t,1
sandra dewi disiksa mengakui perbuatan sang suami korupsi rp t,1
harvey moeis sandra dewi divonis hukuman mati korupsi timah t,1
cristiano ronaldo mengkritik penampilan marselino ferdinan,1
pelatih guinea menyebut indonesia negara miskin,1
verrell bramasta ditangkap narkoba,1
alex ferguson marselino egois match indonesia vs irak,1
laga indonesia vs guinea resmi diulang,1
undian berhadiah bank mandiri,1
bahaya gelombang panas peringatan warga indonesian malaysia singapura,1
gedung mukidi korporation,1
spbu pertamina menjual pertalite,1
prabowo pdip bersatu tinggalkan jokowi,1
saldi isra mundur jabatan hakim mk,1
ledakan mobil listrik tesla manhattan as,1
mk putuskan anies ganjar calonkan presiden,1
batalkan makan siang gratis,1
pengurangan populasi juta jiwa,1
beras beracun china,1
data pribadi jokowi bocor ayahnya narapidana eks pki,1
kota pesisir indonesia dilahap gelombang kiamat,1
sulawesi toraja berduka puluhan warga tenggelam banjir,1
indonesia banned afc terindikasi suap wasit,1
gelombang meter sapu habis laut indonesia ribuan warga,1
mei sofiatun gudono menikah prabowo,1
jokowi pegang kartu kabur demo,1
suplemen mengobati penyakit diabetes,1
manfaat merokok,1
tawaran pinjaman bank indonesia,1
pertandingan ulang indonesia vs uzbekistan,1
tentara cina masuk indonesia prabowo gibran kalah pilpres,1
cairan batang pisang berkhasiat hancurkan batu ginjal,1
angin puting beliung terjang boyolali rumah rumah hancur lebur,1
banjir belasan meter toraja puluhan warga tenggelam,1
temukan kecurangan hirup doping uzbekistan resmi diblacklist,1
grup whatsapp program afiliate tokopedia,1
ronaldo messi bela indonesia pertandingan melawan uzbekistan dicurangi wasit,1
video pekerja china berseteru pekerja indonesia,1
guinea mundur playoff olimpiade,1
rekaman video asteroid menabrak,1
indonesia dibenahi secepatnya,1
ronaldo buka suara kecurangan liga indonesia vs uszbekistan,1
gas elpiji terisi disiram air panas,1
video david beckham situs judi online bantu masyarakat indonesia,1
bantuan sosial rpjuta kantor pusat bpjs jakarta,1
rokok obat tbc,1
akun tiruan facebook pj bupati buol,1
akun whatsapp bupati lamongan yuhronur efendi transfer,1
video penampakan unta banjir dubai,1
surat pemberitahuan pengiriman bantuan mengatasnamakan kemendikbud ristek ta,1
air batang pisang ampuh menghancurkan batu empedu asam urat kolesterol menurunkan tekanan darah,1
komeng promosikan situs judi online,1
akun whatsapp kepala dinas pupr kab muba alva elan,1
spesimen surat suara bacalon gubernur jatim,1
banjir april desa musnah rumah terkepung,1
jokowi megawati bahas pilkada makan april,1
gelombang meter sapu perairan indonesia,1
jokowi prabowo qatar dukung timnas,1
uranium diandalkan bahan bakar alternatif habis,1
video puan maharani mempromosikan obat nyeri lutut panggul punggung,1
apk surat panggilan polda metro jaya,1
penerima stiker whatsapp dikenakan biaya rp,1
azan berkumandang istana buckingham,1
tol semarang demak dijual china seharga rp miliar,1
foto bangunan miring gempa taiwan,1
lowongan pekerjaan spbu pertamina,1
sulfur dioksida vulkanik erupsi gunung ruang menyebar pulau jawa,1
desa musnah rumah terkepung bencana banjir bandang kenya april,1
sukoharjo rusak parah angin gila tornado libas kota,1
gebyar undian mandiri akun programundian,1
undian tabungan simpeda bank jatim,1
link daftar gebyar undian bni,1
akun facebook rans berbagi berkah menggelar giveaway juta rupiah,1
angin puting beliung guncang bogor sapu bersih ribuan rumah,1
pelatih korea selatan mengamuk kalah timnas indonesia,1
fenomena kembar pegunungan arfak papua barat,1
joko widodo memegang pigura bergambar gibran,1
ratusan guru dosen kecam politik dinasti jokowi,1
hakim mk bantah hasil sidang sengketa pilpres sidang dilanjutkan,1
ledakan israel disembunyikan,1
prosesi peletakan tumbal jokowi membangun ikn,1
gunung semeru meletus ribuan rumah terdampak abu vulkanik,1
jokowi anies sholat berjamaah april,1
rafael alun korupsi gratifikasi senilai t diduga mengalir artis,1
zara anak ridwan kamil memakai anting simbol salib,1
jokowi kirimkan bunga ucapan terima kasih kim jong un dukung timnas indonesia lawan korsel,1
bocoran seragam sekolah indonesia,1
bensin motor dicampur minyak kayu putih,1
rupiah turun,1
kfa perintahkan pelatih korsel bawa negaranya olimpiade kontrak shin tae yong gagal diperpanjang,1
jokowi kaesang dipecat pdip,1
video pesawat memakai jaket puffer,1
janji tinggalkan indonesia presiden,1
puting beliung porak porandakan kota bandung,1
foto prabowo subianto titiek soeharto kereta cepat,1
megawati mengiklankan obat nyeri sendi,1
foto perdana menteri israel benjamin netanyahu terbaring sakit,1
akun facebook bupati aceh barat mahdi efendi,1
akun whatsapp pj bupati sijunjung memesan kain songket,1
detik detik bambang widjojanto ancam sidang hakim mk,1
akun whatsapp pj bupati kampar,1
bantuan senilai rp juta bpjs kesehatan,1
akun whatsapp camat bojonggede donasi,1
artis ari wibowo meninggal dunia,1
mendidihkan air panci tertutup mengakibatkan klorin pemicu kanker,1
mk putuskan nyapres,1
jokowi perintahkan prabowo pdip pks diharamkan injak istana,1
gambar kartini memakai hijab,1
prabowo perbolehkan jual negeri santun,1
mk batalkan kemenangan prabowo,1
gempa bumi magnitudo guncang halmahera ribuan warga mengungsi,1
ahok datangi kpk serahkan bukti anies baswedan korupsi,1
ntb bahaya akibat gelombang meter,1
jhon lbf giveaway tebak nama kota,1
video raffi ahmad iklankan situs judi online acara mata najwa,1
uang juta jokowi hadiah undur,1
baim muhammad ibrahim giveaway mobil memenangkan games tebak angka,1
gempa bumi berkekuatan magnitude guncang bengkulu maret,1
gempa bumi berkekuatan magnitude guncang malang maret,1
angin puting beliung guncang lampung ribuan rumah hancur,1
gempa bumi berkekuatan magnitude guncang pangandaran maret,1
gempa bumi berkekuatan magnitude guncang ntt maret,1
gempa magnitude guncang sinabang aceh april,1
terbukti whatsapp bocorkan informasi warga palestina israel,1
megawati soekarnoputri meninggal dunia,1
banjir turki,1
giovanna milana megawati hangestri bergabung pink spider,1
gempa bermagnitudo guncang pacitan april,1
gempa bermagnitudo guncang pasaman barat april,1
prabowo menang mk aceh langsung kibarkan bendera gam langsung dr indonesia,1
gedung runtuh akibat gempa taiwan,1
uang redenominasi rupiah bank indonesia,1
bali dikeroyok nyamuk bill gates,1
virus menyebar angin jayapura,1
jusuf hamka berbagi uang berusia instagram,1
akun instagram palsu jhon lbf uang bantuan usaha,1
atta halilintar berbagi rejeki situs slot miliknya,1
foto najwa shihab menerima produk ac portable,1
giveaway range rover atta halilintar,1
puskesmas wara selatan buka lowongan kerja,1
akun whatsapp kakanwil kemenag sulsel tawarkan bantuan,1
surat pelatihan bendahara mengatasnamakan pusbangpegasn bkn,1
kapolres wajo tawarkan mobil bekas whatsapp,1
nomor whatsapp pj bupati ogan komering ilir asmar wijaya membagikan donasi,1
nomor whatsapp kadis kominfosanti kabupaten buleleng ketut warmawan,1
postingan facebook lowongan pekerjaan puskesmas majalengka,1
akun whatsapp tiruan kepala sub keuangan dinas sosial kabupaten buleleng,1
akun facebook mengatasnamakan pj gubernur sulbar zudan arif fakrulloh,1
lowongan kerja rsud hj anna lasmanah banjarnegara,1
akun facebook mengatasnamakan bupati bandung dadang supriatna,1
akun facebook wali kota samarinda haji andi harun,1
puskesmas kuta utara giveaway iphone instagram,1
akun whatsapp wakil bupati ketapang farhan,1
akun facebook mohamad irwan bupati sigi,1
kpu tunda penetapan prabowo gibran,1
lamaran gibran ditolak anies ganjar konsisten oposisi prabowo,1
sri mulyani hutang negara sidang mk,1
video unjuk masyarakat papua terkait pencurian suara pilpres,1
video anak anak gaza kesempatan bermain pantai serangan iran israel,1
drone iran ditemukan jatuh tersangkut irak,1
video kim jong un antarkan koruptor masuk lubang berisi buaya,1
pt astra honda motor berbagi motor pcx,1
akun tiktok prabowo giveaway unit motor tembus ribu follower,1
akun tiktok tiruan bni pinjaman_bank_bni__,1
akun tiktok tiruan pengusaha jhon lbf jhonlbf berbagi,1
detik detik iran jatuhkan pesawat milik israel,1
giveaway uang juta akun bossqu paula berbagi rejeki,1
uang masuk pintu tol langsung masuk rekening pengusaha cina,1
jokowi promosi mukena hadiah menjelang habis jabatan,1
jokowi speaker bluetooth rangka lepas jabatan,1
uang indonesia lembaran senilai juta,1
video tentara china tiongkok komunis berani melawan tni terbuka terang terangan,1
penampakan suku mante,1
gempa majene sulawesi barat april,1
pijat jari tangan kaki atasi rabun mata,1
uang juta via dompet digital jusuf hamka,1
akun facebook tiruan nagita slavina,1
putin rusia mendukung iran amerika serikat membantu israel,1
video ahy turun langit kampanye pemilu,1
pdip rapat darurat megawati oposisi lawan prabowo,1
jet misterius israel,1
informasi pasien rs charitas identitas maret,1
kali langgar kode etik dkpp pecat ketua kpu,1
jhon lbf transfer juta berhasil memenangkan games tangkap gambar facebook,1
mohamad tony harjono ksau adik ipar iriana jokowi,1
putin tolong kirim rudal gedung dpr,1
gunung merapi meletus april,1
video jokowi mengancam rakyat,1
teknologi anti banjir mobil mewah dubai,1
sayyid ali khamenei tampil sampul majalah forbes,1
gempa guncang mamasa sulawesi barat terbelah,1
merry riana indonesia bubar,1
gambar gus miftah memegang salib,1
soimah bagikan uang juta games susun,1
pendakwah umi laila resmi tersangka,1
pesawat jatuh perairan flores,1
kejagung sita uang rp miliar kilogram emas rumah harvey moeis,1
middle blocker ibk altos gegar otak melawan red sparks,1
musuh selimut tim red sparks megawati hangestri menangis kecewa,1
akun facebook pj bupati ntb gita aryadi,1
surat teguran hak cipta lisensi wahana music indonesia,1
video gempa majene sulawesi barat,1
gambar anies mengenakan seragam militer jepang,1
kemenkes biadab menyebar nyamuk wolbachia kota,1
uang hilang bri efek pemilu serangan bansos,1
kakak jokowi sekjen partai komunis tiongkok,1
matahari mendekat riau,1
gas sulfur dioksida hasil letusan gunung ruang menyebar pulau jawa,1
gas lpg kg berisi air,1
camp karantina tiongkok selesai dibangun,1
raffi ahmad promosikan situs slot,1
pinjaman bank mandiri via whatsapp bio profil tiktok,1
video menteri negeri retno marsudi menandatangani pelunasan hutang negara china,1
najwa shihab mempromosikan produk ac facebook,1
video belut ilmu pengetahuan tertangkap kamera memakan burung,1
setter ibk altos tumbang terkena smash megawati hangestri,1
pemain ai peppers terkena smash megawati hangestri kepalanya bocor,1
dana operasional rp miliar jokowi bansos rp triliun,1
ivan gunawan bagikan uang juta games susun,1
foto benyamin netanyahu terbaring tidur memakai alat pernapasan,1
pengusaha jhon lbf giveaway unit motor,1
bergabung anggota oecd indonesia berkomitmen membangun hubungan diplomatik israel,1
stanford university dibangun ikn,1
kfc menghina pengungsi palestina,1
jadwal putaran pilpres pemenangan prabowo gibran sah,1
fifa batalkan kemenangan qatar indonesia afc,1
rudal iran hantam bandara ben gurion,1
kota sabang aceh diguncang gempa ribuan warga sekarat,1
eko patrio gelar giveaway uang juta games tebak nama kota,1
hancurnya pangkalan militer negev akibat serangan iran,1
pengajuan pinjaman online bni tiktok,1
kejagung temukan kilogram emas batangan rumah sandra dewi,1
kepala pemain gs caltex bocor terkena smash megawati hangestri,1
main sepeda istana dirumah miris wakil presiden,1
presiden jokowi bentak harvey moeis korupsi timah,1
sandra dewi dijemput paksa kepolisian tersangka korupsi timah,1
ferdy sambo dieksekusi mati,1
cianjur terbelah diguncang gempa magnitudo,1
indonesia lolos piala asia,1
sandra dewi gandeng hotman paris selesaikan korupsi timah t,1
gempa bermagnitudo guncang tuban april,1
gempa bermagnitudo guncang bayah banten april,1
pangandaran habis tersisa diguncang gempa april,1
kota super mewah dubai banjir hujan buatan,1
ribuan rumah bogor ludes akibat angin kencang april,1
israel tantang indonesia prabowo ancam hancurkan israel mengganggu tni bertugas lebanon,1
